"","longitude","latitude","k3","k4","k5","k6"
"3744",84.394202,24.442973,1,1,1,1
"3745",81.25739,18.633644,1,1,1,1
"3756",93.438668,25.966816,3,4,5,5
"3761",83.257291,18.933338,3,4,4,6
"3762",75.343314,19.876165,2,2,2,2
"3775",86.540267,25.197613,1,1,1,1
"3778",82.27448,18.96149,3,3,3,3
"3782",80.006844,20.181843,3,3,3,3
"3792",82.862716,20.75041,2,2,2,2
"3793",82.862716,20.75041,2,2,2,2
"3794",82.862716,20.75041,2,2,2,2
"3798",84.498117,23.817071,2,2,2,2
"3870",95.030176,27.027712,1,1,1,1
"3906",90.333333,25.5,3,3,3,3
"3915",90.64411,25.903983,3,3,3,3
"4017",86.330092,24.927484,3,4,5,5
"4118",83.257291,18.933338,3,4,4,6
"4140",83.4833,20.7167,2,2,2,2
"4170",86.193332,23.905309,3,3,3,3
"4197",86.193332,23.905309,1,1,1,1
"4198",74.793683,34.069935,1,1,1,1
"4211",84.504337,23.743805,3,3,3,3
"4227",84.428637,23.747365,1,1,1,1
"4265",75.113672,33.934218,1,1,1,1
"4271",74.442253,23.540541,3,4,5,5
"4295",91.873611,25.580833,3,3,3,3
"4327",93.906269,24.663717,3,3,3,3
"4334",84.460582,19.177486,3,3,3,3
"4335",93.761286,24.628864,1,1,1,1
"4360",94.20707,24.434843,3,3,3,3
"4399",74.913335,34.01083,3,3,3,3
"4400",81.895253,18.363526,3,4,4,4
"4435",82.06208,18.225234,2,2,2,2
"4464",86.19925,23.674553,1,1,1,1
"4491",83.50702,19.357915,2,2,2,2
"4510",83.4833,20.7167,3,4,4,6
"4551",83.50702,19.357915,2,2,2,2
"4632",94.198056,24.951111,3,4,5,5
"4656",75.136718,17.405285,3,4,4,6
"4690",81.895253,18.363526,2,2,2,2
"4705",90.677305,25.755953,3,4,5,5
"4709",79.838078,22.526898,3,3,3,3
"4729",90.677305,25.755953,3,3,3,3
"4741",86.093731,24.284148,1,1,1,1
"4822",85.28,23.07,3,3,3,3
"4823",86.012157,22.856126,3,3,3,3
"4847",84.870937,24.204235,1,1,1,1
"4864",90.677305,25.755953,3,3,3,3
"4912",81.407293,17.862768,3,3,3,3
"4939",81.406964,17.862542,3,3,3,3
"4964",90.645103,25.853265,3,3,3,3
"4980",90.619576,26.169455,1,1,1,1
"5004",73.856744,18.52043,1,1,1,1
"5005",73.856744,18.52043,1,1,1,1
"5006",73.856744,18.52043,1,1,1,1
"5007",73.856744,18.52043,1,1,1,1
"5008",73.856744,18.52043,1,1,1,1
"5055",90.61682,25.49546,3,3,3,3
