"","longitude","latitude","k3","k4","k5","k6"
"3442",71.480221,34.567793,1,1,1,1
"3486",72.044411,34.198181,1,1,1,1
"3573",71.46229,33.91956,1,1,1,1
"3587",71.477429,34.565494,2,3,5,5
"3682",71.651019,34.119318,1,1,1,1
"3750",67.189449,29.408737,1,1,1,1
"3776",71.287421,34.021103,1,1,1,1
"3783",71.287421,34.021103,1,1,1,1
"3875",72.046816,35.165524,2,3,5,5
"3885",67.031566,30.182091,1,1,1,1
"3886",67.030821,30.189459,1,1,1,1
"3916",71.48759,33.47483,1,1,1,1
"3928",65.418223,28.58229,1,1,1,1
"3952",66.995078,24.850393,2,2,2,2
"3958",66.995823,30.219157,3,4,4,4
"4024",69.001648,28.923448,1,1,1,1
"4038",65.138763,27.407631,2,3,5,5
"4059",72.046816,35.165524,2,3,5,5
"4067",71.26465,34.39907,1,1,1,1
"4104",72.046816,35.165524,2,2,2,2
"4114",72.046816,35.165524,2,3,5,5
"4119",71.544949,34.0042,2,2,2,2
"4163",71.765,35.09,2,3,5,5
"4173",66.933276,30.090268,3,4,4,4
"4275",71.874921,35.19766,2,3,5,5
"4293",67.363186,24.815006,1,1,1,1
"4294",67.363186,24.815006,1,1,1,1
"4331",67.283333,30.1175,2,2,2,2
"4336",71.383333,33.999999,2,2,2,2
"4349",66.945189,30.354275,2,2,2,2
"4376",63.060873,26.00354,2,3,5,5
"4396",67.213067,30.157285,2,2,2,2
"4456",74.111252,32.44548,2,3,3,3
"4473",74.111252,32.44548,1,1,1,1
"4501",67.049304,24.880323,1,1,1,1
"4516",71.999817,34.006649,2,2,2,2
"4518",74.320674,31.533102,2,3,3,3
"4525",71.316111,34.835555,1,1,1,1
"4529",66.945189,30.354275,1,1,1,1
"4565",70.8,33.733333,2,2,2,2
"4581",71.650833,34.940278,1,1,1,1
"4592",70.605556,32.98889,3,4,4,4
"4620",67.084797,24.939894,2,3,5,5
"4644",71.301111,33.646099,1,1,1,1
"4658",71.55,35.31,2,3,3,3
"4686",66.965668,24.947762,1,1,1,1
"4697",67.021955,25.054159,2,3,5,5
"4714",62.3225,25.126389,2,3,3,3
"4716",70.53988,33.348384,3,4,4,4
"4717",72.00237,35.278357,1,1,1,1
"4728",67.036111,24.885833,2,2,2,2
"4825",72.00237,35.278357,1,1,1,1
"4830",71.383252,34.00012,2,3,5,5
"4831",71.14978,34.0989,2,3,5,5
"4839",67.018137,30.209304,2,3,5,5
"4865",71.002222,33.7075,2,3,5,5
"5014",74.320621,31.601849,1,1,1,1
"5015",74.320621,31.601849,1,1,1,1
"5016",71.458023,30.190189,3,4,4,4
"5100",74.255714,31.486251,2,3,5,5
"5101",71.862638,34.864259,2,3,5,5
"5172",71.383252,34.00012,2,3,5,5
"5212",72.375193,32.809399,2,3,5,5
"5235",67.064331,24.92808,1,1,1,1
"5258",71.872616,35.196559,2,3,3,3
"5262",66.59,29.025833,2,3,5,5
"5277",71.480221,34.567793,1,1,1,1
"5281",71.480221,34.567793,1,1,1,1
"5334",71.464444,33.917778,2,2,2,2
"5335",70.9095,31.823759,2,3,5,5
"5345",72.375193,32.809399,2,3,5,5
"5386",66.959444,24.965278,2,3,5,5
"5406",70.851667,33.638056,2,3,5,5
"5473",71.2367,34.3434,2,3,5,5
"5506",73.2,34.333333,2,3,5,5
"5508",72.393265,33.857616,3,4,4,4
"5521",67.018137,30.209304,2,3,5,5
"5530",67.028349,24.893446,1,1,1,1
"5538",69.681944,32.303889,2,3,5,5
"5558",71.14978,34.0989,1,1,1,1
"5608",67.018137,30.209304,1,1,1,1
"5642",71.018793,33.478328,2,3,5,5
"5648",71.685833,34.953611,2,3,3,3
"5649",71.429936,34.856902,2,3,5,5
"5661",71.774167,34.814444,2,3,5,5
"5717",67.666223,29.229304,2,3,5,5
"5718",67.666223,29.229304,2,3,5,5
"5721",67.018137,30.209304,2,3,5,5
"5762",70.024262,32.703582,1,1,1,1
"5802",71.55806,33.794433,1,1,1,1
"5811",64.099996,26.966658,1,1,1,1
"5822",71.853333,34.851944,2,3,5,5
"5823",66.933276,30.090268,2,3,5,5
"5824",66.933276,30.090268,2,3,5,5
"5848",73.043747,33.605801,1,1,1,1
"5860",71.5448,34.004274,3,4,4,4
"5957",71.399933,33.914075,1,1,1,1
"5959",67.018137,30.209304,2,2,2,2
"5993",71.464444,33.917778,1,1,1,1
"6042",71.002222,33.7075,1,1,1,1
"6056",70.100833,33.899167,1,1,1,1
