"","longitude","latitude","k3","k4","k5","k6"
"2523","70.811995","36.734772","3","4","5","6"
"2530","68.566667","34.1","1","1","1","2"
"2540","62.168857","34.046771","3","3","4","5"
"2545","64.621428","31.76147","3","3","4","5"
"2552","63.297505","33.820882","3","4","5","6"
"2561","66.141526","32.074078","3","3","4","5"
"2576","61.86","30.96","2","2","2","3"
"2578","68.572411","34.031203","1","1","1","2"
"2593","68.8014","36.6933","1","1","1","2"
"2597","65.700272","31.61088","3","4","5","6"
"2605","69.031454","33.435888","3","4","5","6"
"2616","65.760803","37.52705","1","1","1","2"
"2642","67.416481","32.519241","3","3","4","5"
"2666","69.931212","33.564058","1","1","1","2"
"2667","69.171703","34.528455","2","2","2","3"
"2673","69.171703","34.528455","1","1","1","1"
"2706","62.262663","32.495328","3","3","4","5"
"2728","65.049683","32.270119","3","3","3","4"
"2729","64.431892","32.400023","3","3","3","4"
"2731","69.478454","36.669801","1","1","1","2"
"2749","64.621428","31.76147","1","1","1","1"
"2758","66.324167","31.803333","3","3","4","5"
"2759","70.859562","34.081873","1","1","1","2"
"2760","69.788263","33.539911","3","3","4","5"
"2765","65.38071","36.102628","1","1","1","2"
"2781","67.766708","32.81493","1","1","1","1"
"2782","68.674103","33.926674","1","1","1","1"
"2793","68.858577","35.601153","3","3","4","5"
"2800","62.920592","32.230825","3","3","4","5"
"2801","68.763192","33.125658","2","2","2","3"
"2803","64.114227","31.517771","3","3","4","5"
"2809","69.348841","35.013606","1","1","1","2"
"2822","68.953959","37.10962","1","1","1","2"
"2832","69.126826","32.861513","1","1","1","2"
"2849","62.277222","33.561667","1","1","1","2"
"2853","62.028239","32.480918","1","1","1","2"
"2865","62.479768","32.625149","1","1","1","1"
"2874","63.335419","35.5938","1","1","1","2"
"2875","68.524715","32.264539","1","1","1","1"
"2876","66.906944","32.106111","1","1","1","2"
"2889","64.824944","32.184361","1","1","1","2"
"2890","65.752","36.665","3","3","4","5"
"2891","68.647247","32.937172","2","2","2","3"
"2897","64.811084","32.311872","1","1","1","2"
"2901","62.488056","32.625","3","3","3","4"
"2902","62.488056","32.625","3","3","3","4"
"2903","62.488056","32.625","3","3","3","4"
"2915","70.447778","34.434167","1","1","1","2"
"2925","62.488056","32.625","3","3","3","4"
"2927","70.75","34.7","3","3","4","5"
"2928","65.382778","31.485278","3","3","4","5"
"2964","64.564087","31.823601","3","3","4","5"
"2967","63.533333","34.983333","1","1","1","2"
"2975","64.905955","34.099578","3","4","5","6"
"2992","69.171703","34.528455","3","4","5","6"
"2995","70.097949","34.809055","1","1","1","1"
"3028","63.791087","35.726615","1","1","1","2"
"3043","69.920151","33.33445","1","1","1","2"
"3044","69.920151","33.33445","1","1","1","2"
"3048","64.824822","32.136711","3","3","3","4"
"3049","64.811084","32.311872","3","3","3","4"
"3050","64.811084","32.311872","3","3","3","4"
"3051","70.288453","34.07409","1","1","1","2"
"3055","68.35717","33.399895","3","3","4","5"
"3060","65.285708","34.51495","1","1","1","2"
"3066","","","3","3","4","5"
"3071","65.570785","32.640755","3","4","5","6"
"3085","61.3947","31.766","3","3","3","4"
