"","longitude","latitude","k3","k4","k5","k6"
"3957","44.633421","33.749892","1","1","1","1"
"4186","43.311501","33.431832","1","1","1","1"
"4196","44.633421","33.749892","1","4","4","5"
"4229","44.536067","33.571807","3","3","3","3"
"4305","44.924722","31.989167","2","2","2","2"
"4769","44.362278","34.129853","3","3","3","3"
"4770","44.234167","33.509167","2","2","2","2"
"4771","44.234167","33.509167","1","1","1","1"
"4772","44.234167","33.509167","2","2","2","2"
"4773","44.234167","33.509167","2","2","2","2"
"4774","44.422","33.325","1","4","4","5"
"4775","44.460652","33.389934","1","4","4","5"
"4776","44.639339","34.88562","2","2","2","2"
"4777","44.639339","34.88562","2","2","2","2"
"4778","44.639339","34.88562","2","2","2","2"
"4779","44.233333","33.85","1","4","4","5"
"4781","44.145278","34.016389","2","2","2","2"
"4782","44.145278","34.016389","2","2","2","2"
"4784","44.536067","33.571807","1","4","4","5"
"4785","44.5078","33.782198","1","4","4","5"
"4786","44.926682","33.971279","2","2","2","2"
"4787","44.926682","33.971279","2","2","2","2"
"4788","44.926682","33.971279","2","2","2","2"
"4789","44.926682","33.971279","2","2","2","2"
"4790","43.13","36.34","1","4","4","5"
"4791","41.760647","35.713266","1","1","1","1"
"4792","43.266667","35.816667","1","4","4","5"
"4793","43.13","36.34","1","4","4","5"
"4794","44.39098","35.46883","1","4","4","5"
"4795","44.39098","35.46883","1","4","4","5"
"4796","44.39098","35.46883","2","2","2","2"
"4797","44.39098","35.46883","2","2","2","2"
"4798","44.39098","35.46883","2","2","2","2"
"4799","44.39098","35.46883","1","4","4","5"
"4800","44.39098","35.46883","2","2","2","2"
"4803","44.924722","31.989167","2","2","2","2"
"4804","43.483738","34.533753","3","3","3","3"
"4805","45.383333","34.333333","1","4","4","5"
"4806","45.383333","34.333333","3","3","3","3"
"4807","44.633333","33.75","1","4","4","5"
"4808","44.341667","33.295556","1","4","4","5"
"4809","44.373779","33.664354","2","2","2","2"
"4810","44.422","33.325","1","4","4","5"
"4811","42.236244","36.229574","1","1","1","1"
"4860","43.816667","34.366667","3","3","3","3"
"4972","44.433333","33.3","1","1","1","1"
"4973","44.433333","33.3","1","4","4","5"
"4976","44.433333","33.3","3","3","3","3"
"5253","43.493056","34.929167","3","3","3","3"
"5318","44.583333","34.716667","3","3","3","3"
"5350","44.583333","34.716667","3","3","3","3"
"5351","44.583333","34.716667","1","4","4","5"
"5436","44.633333","33.75","1","4","4","5"
"5490","44.412808","33.54604","1","4","4","5"
"5493","44.448863","35.139177","1","1","1","1"
"5494","44.448863","35.139177","1","4","4","5"
"5495","44.433333","33.3","1","4","4","5"
"5496","44.433333","33.3","1","4","4","5"
"5497","44.46091","33.389638","2","2","2","2"
"5498","44.233611","33.634722","3","3","3","3"
"5499","45.824722","32.505556","2","2","2","2"
"5500","44.391003","35.468763","1","4","4","5"
"5501","44.391003","35.468763","2","2","2","2"
"5502","44.391003","35.468763","1","4","4","5"
"5503","44.086389","33.457222","3","3","3","3"
"5504","44.086389","33.457222","2","2","2","2"
"5657","44.433333","33.3","1","4","4","5"
"5933","44.63922","34.885611","3","3","3","3"
"5985","44.233333","33.85","3","3","3","3"
"5986","44.233333","33.85","1","4","4","5"
"5987","44.086389","33.457222","3","3","3","3"
"5988","44.633333","33.75","2","2","5","6"
"5989","44.633333","33.75","2","2","5","6"
"5990","44.633333","33.75","2","2","5","6"
"5991","43.493056","34.929167","2","2","5","6"
"6006","47.151015","31.837555","2","2","5","6"
"6007","44.46091","33.389638","2","2","5","6"
"6008","44.314193","33.361103","2","2","5","6"
"6009","44.46091","33.389638","2","2","5","6"
"6010","44.314193","33.361103","2","2","5","6"
"6011","44.25529","33.281965","2","2","5","6"
"6012","44.391003","35.468763","2","2","5","6"
"6013","44.391003","35.468763","2","2","5","6"
"6014","44.007872","35.290356","2","2","5","6"
"6015","43.910556","35.268889","1","4","4","5"
"6016","44.395378","34.003712","2","2","5","6"
"6017","44.234167","33.509167","2","2","5","6"
"6018","44.234167","33.509167","2","2","5","6"
"6019","44.234167","33.509167","2","2","5","6"
"6020","44.633333","33.75","2","2","5","6"
"6021","44.633333","33.75","2","2","5","6"
"6022","44.633333","33.75","2","2","5","6"
"6023","44.633333","33.75","2","2","5","6"
"6024","44.633333","33.75","2","2","5","6"
"6025","43.783333","33.35","3","3","3","3"
"6026","46.266346","31.049176","2","2","5","6"
"6027","46.266346","31.049176","2","2","5","6"
"6028","44.63922","34.885611","3","3","3","3"
"6029","47.81673","30.499912","2","2","5","6"
"6030","42.451778","36.373718","2","2","5","6"
"6031","43.874931","34.19421","2","2","5","6"
"6032","43.13","36.34","2","2","5","6"
"6033","43.13","36.34","2","2","5","6"
"6035","43.379663","36.352145","1","4","4","5"
"6036","44.065556","33.291944","3","3","3","3"
"6038","44.63922","34.885611","2","2","5","6"
"6039","44.63922","34.885611","2","2","5","6"
"6046","44.422009","33.324999","2","2","5","6"
"6047","44.371378","33.055154","2","2","5","6"
"6048","44.412808","33.54604","2","2","5","6"
"6431","44.583332","33.099934","2","2","5","6"
"6432","44.234167","33.509167","2","2","5","6"
"6433","44.234167","33.509167","2","2","5","6"
"6434","44.234167","33.509167","2","2","5","6"
"6435","44.234167","33.509167","2","2","5","6"
"6436","44.433333","33.3","1","1","1","1"
"6437","45.824722","32.505556","1","1","1","1"
