"","eventid","country_txt","latitude","longitude","attacktype1","targtype1","region","weaptype1","imonth","suicide","gname","guncertain1","doubtterr","groups"
"1698",201203200009,"Iraq",34.19421,43.874931,"3","3","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1699",201203200010,"Iraq",34.929167,43.493056,"3","14","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1700",201203200011,"Iraq",35.138333,44.448611,"3","14","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1701",201203200012,"Iraq",34.058828,44.217524,"3","14","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1702",201203200013,"Iraq",33.316667,44.4,"3","19","10","6","3","1","Al-Qaida in Iraq","0","0",3
"1703",201203200014,"Iraq",33.35,43.783333,"3","3","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1704",201203200017,"Iraq",34.604328,43.68557,"3","8","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1705",201203200018,"Iraq",32.483333,44.433333,"3","2","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1706",201203200019,"Iraq",32.6143,44.02483,"3","14","10","6","3","0","Al-Qaida in Iraq","0","0",3
"1707",201203200020,"Iraq",33.055191,44.37141,"3","3","10","6","3","0","Al-Qaida in Iraq","0","0",3
"2163",201204120013,"Iraq",35.278889,43.994167,"2","3","10","5","4","0","Al-Naqshabandiya Army","0","0",2
"2336",201204190002,"Iraq",33.324758,44.422289,"3","2","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2337",201204190003,"Iraq",34.19421,43.874931,"3","17","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2338",201204190004,"Iraq",34.19421,43.874931,"3","17","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2339",201204190005,"Iraq",33.664354,44.373779,"3","4","10","6","4","1","Al-Qaida in Iraq","0","1",5
"2340",201204190006,"Iraq",33.75,44.633333,"3","3","10","6","4","1","Al-Qaida in Iraq","0","0",3
"2341",201204190007,"Iraq",35.469596,44.391235,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2342",201204190008,"Iraq",35.674949,44.070597,"3","4","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2344",201204190010,"Iraq",35.469596,44.391235,"3","1","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2345",201204190011,"Iraq",33.780556,44.555,"2","3","10","5","4","0","Al-Qaida in Iraq","0","0",2
"2346",201204190012,"Iraq",34.080556,44.958889,"2","17","10","5","4","0","Al-Qaida in Iraq","0","0",2
"2347",201204190013,"Iraq",33.361103,44.314193,"3","1","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2348",201204190014,"Iraq",33.238757,44.339691,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2349",201204190015,"Iraq",33.3,44.433333,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2351",201204190017,"Iraq",33.75,44.633333,"3","3","10","6","4","1","Al-Qaida in Iraq","0","0",3
"2352",201204190018,"Iraq",33.75,44.633333,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2353",201204190019,"Iraq",35.469596,44.391235,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2354",201204190020,"Iraq",35.469596,44.391235,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2355",201204190021,"Iraq",33.509167,44.234167,"3","14","10","6","4","1","Al-Qaida in Iraq","0","0",3
"2356",201204190022,"Iraq",33.509167,44.234167,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2357",201204190023,"Iraq",33.431831,43.311501,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2358",201204190024,"Iraq",33.431831,43.311501,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2359",201204190025,"Iraq",34.19421,43.874931,"3","3","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2360",201204190026,"Iraq",34.283333,43.766667,"3","4","10","6","4","0","Al-Qaida in Iraq","0","1",3
"2361",201204190027,"Iraq",33.85,44.233333,"3","20","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2362",201204190028,"Iraq",35.674949,44.070597,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2363",201204190029,"Iraq",35.674949,44.070597,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2364",201204190030,"Iraq",35.674949,44.070597,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2365",201204190031,"Iraq",35.674949,44.070597,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2366",201204190032,"Iraq",35.674949,44.070597,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2367",201204190033,"Iraq",35.674949,44.070597,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2368",201204190034,"Iraq",34.068889,44.863056,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2369",201204190035,"Iraq",33.593056,44.501111,"3","14","10","6","4","0","Al-Qaida in Iraq","0","0",3
"2370",201204190036,"Iraq",34.929167,43.493056,"3","1","10","6","4","0","Al-Qaida in Iraq","0","0",3
